order_id,customer_id,order_date,product_id,quantity,unit_price,discount_pct,net_revenue,channel,month
O000212,C2061,2024-04-21,P012,1,79.0,0.0,79.0,DTC,2024-04
O000213,C1978,2024-10-02,P002,1,25.0,0.1,22.5,DTC,2024-10
O000214,C2015,2024-09-13,P007,1,32.0,0.0,32.0,DTC,2024-09
O000215,C2495,2025-03-18,P007,3,32.0,0.0,96.0,DTC,2025-03
O000216,C1366,2024-05-25,P001,1,25.0,0.0,25.0,DTC,2024-05
O000217,C1849,2025-08-10,P005,1,25.0,0.0,25.0,DTC,2025-08
O000218,C0389,2025-03-08,P002,2,25.0,0.15,42.5,DTC,2025-03
O000219,C2920,2025-06-29,P010,1,28.0,0.0,28.0,DTC,2025-06
O000220,C1366,2024-05-16,P008,1,25.0,0.0,25.0,DTC,2024-05
O000221,C1638,2025-07-04,P002,2,25.0,0.0,50.0,DTC,2025-07
O000222,C2621,2025-08-05,P012,2,79.0,0.0,158.0,DTC,2025-08
O000223,C1746,2025-07-11,P011,2,20.0,0.0,40.0,DTC,2025-07
O000224,C0137,2024-06-29,P011,1,20.0,0.15,17.0,DTC,2024-06
O000225,C2837,2025-11-28,P007,1,32.0,0.0,32.0,Subscription,2025-11
O000226,C1854,2025-10-10,P002,2,25.0,0.0,50.0,DTC,2025-10
O000227,C2373,2024-01-17,P005,3,25.0,0.0,75.0,DTC,2024-01
O000228,C0616,2024-09-05,P011,2,20.0,0.0,40.0,Subscription,2024-09
O000229,C2495,2025-04-08,P002,1,25.0,0.0,25.0,DTC,2025-04
O000230,C1533,2024-11-20,P001,2,25.0,0.0,50.0,DTC,2024-11
O000231,C2156,2025-10-02,P011,2,20.0,0.0,40.0,DTC,2025-10
O000232,C1758,2024-10-14,P009,2,32.0,0.0,64.0,DTC,2024-10
O000233,C0315,2025-12-16,P003,1,25.0,0.0,25.0,DTC,2025-12
O000234,C1565,2024-07-25,P002,1,25.0,0.0,25.0,Subscription,2024-07
O000235,C1734,2024-12-11,P003,1,25.0,0.0,25.0,DTC,2024-12
O000236,C2137,2024-11-24,P005,1,25.0,0.0,25.0,DTC,2024-11
O000237,C1146,2024-03-20,P009,1,32.0,0.0,32.0,DTC,2024-03
O000238,C0469,2024-10-25,P010,1,28.0,0.0,28.0,DTC,2024-10
O000239,C0632,2025-10-18,P003,1,25.0,0.0,25.0,DTC,2025-10
O000240,C2615,2024-01-02,P002,1,25.0,0.0,25.0,DTC,2024-01
O000241,C1537,2024-01-06,P012,1,79.0,0.0,79.0,DTC,2024-01
O000242,C2302,2025-09-23,P011,1,20.0,0.0,20.0,DTC,2025-09
O000243,C0078,2025-05-14,P012,1,79.0,0.0,79.0,DTC,2025-05
O000244,C1492,2025-12-26,P001,1,25.0,0.0,25.0,DTC,2025-12
O000245,C2021,2025-09-23,P002,1,25.0,0.0,25.0,DTC,2025-09
O000246,C2994,2024-02-24,P009,1,32.0,0.0,32.0,DTC,2024-02
O000247,C2283,2024-04-02,P011,3,20.0,0.0,60.0,DTC,2024-04
O000248,C1708,2024-11-20,P005,2,25.0,0.05,47.5,DTC,2024-11
O000249,C1329,2024-12-11,P007,2,32.0,0.0,64.0,DTC,2024-12
O000250,C1115,2025-08-08,P004,1,32.0,0.0,32.0,DTC,2025-08
O000251,C1080,2024-06-03,P012,2,79.0,0.0,158.0,Subscription,2024-06
O000252,C1530,2025-02-11,P003,1,25.0,0.0,25.0,DTC,2025-02
O000253,C1760,2024-01-16,P001,1,25.0,0.05,23.75,DTC,2024-01
O000254,C2795,2025-07-25,P006,1,25.0,0.0,25.0,Subscription,2025-07
O000255,C0282,2024-11-01,P011,3,20.0,0.1,54.0,Subscription,2024-11
O000256,C1075,2025-12-04,P005,1,25.0,0.0,25.0,DTC,2025-12
O000257,C0687,2025-02-23,P010,3,28.0,0.0,84.0,DTC,2025-02
O000258,C0745,2024-06-11,P003,2,25.0,0.15,42.5,DTC,2024-06
O000259,C0140,2024-11-29,P012,2,79.0,0.0,158.0,Subscription,2024-11
O000260,C0506,2024-06-03,P011,1,20.0,0.0,20.0,DTC,2024-06
O000261,C1574,2024-05-13,P006,1,25.0,0.0,25.0,DTC,2024-05
O000262,C2260,2025-06-27,P003,2,25.0,0.0,50.0,DTC,2025-06
O000263,C0521,2025-04-19,P008,1,25.0,0.0,25.0,DTC,2025-04
O000264,C0187,2024-02-25,P011,1,20.0,0.0,20.0,Subscription,2024-02
O000265,C2202,2025-08-07,P010,3,28.0,0.05,79.8,DTC,2025-08
O000266,C0030,2025-09-21,P011,1,20.0,0.0,20.0,DTC,2025-09
O000267,C1714,2024-03-01,P007,2,32.0,0.0,64.0,DTC,2024-03
O000268,C0809,2025-12-02,P003,1,25.0,0.0,25.0,DTC,2025-12
O000269,C0217,2024-11-09,P010,1,28.0,0.0,28.0,Subscription,2024-11
O000270,C1219,2025-09-03,P008,2,25.0,0.0,50.0,Subscription,2025-09
O000271,C2704,2025-11-21,P008,2,25.0,0.1,45.0,DTC,2025-11
O000272,C2807,2024-08-08,P001,1,25.0,0.0,25.0,DTC,2024-08
O000273,C1315,2024-02-13,P007,1,32.0,0.0,32.0,DTC,2024-02
O000274,C0447,2024-05-25,P009,1,32.0,0.0,32.0,DTC,2024-05
O000275,C2554,2024-10-14,P004,1,32.0,0.0,32.0,DTC,2024-10
O000276,C1484,2025-06-02,P005,2,25.0,0.0,50.0,DTC,2025-06
O000277,C2487,2025-10-23,P012,1,79.0,0.05,75.05,DTC,2025-10
O000278,C1608,2024-05-14,P004,2,32.0,0.1,57.6,DTC,2024-05
O000279,C0573,2025-10-02,P004,1,32.0,0.0,32.0,DTC,2025-10
O000280,C2398,2025-12-09,P005,1,25.0,0.0,25.0,DTC,2025-12
O000281,C0152,2025-11-05,P005,1,25.0,0.0,25.0,Subscription,2025-11
O000282,C2391,2025-07-22,P002,1,25.0,0.0,25.0,DTC,2025-07
O000283,C1819,2024-08-27,P003,1,25.0,0.0,25.0,DTC,2024-08
O000284,C2281,2024-08-06,P002,1,25.0,0.0,25.0,DTC,2024-08
O000285,C2324,2024-01-16,P004,1,32.0,0.0,32.0,DTC,2024-01
O000286,C1790,2025-05-22,P002,1,25.0,0.0,25.0,Subscription,2025-05
O000287,C0712,2024-01-01,P001,1,25.0,0.0,25.0,DTC,2024-01
O000288,C0825,2024-08-23,P008,1,25.0,0.0,25.0,DTC,2024-08
O000289,C1073,2025-05-27,P002,1,25.0,0.0,25.0,DTC,2025-05
O000290,C0479,2025-01-17,P008,1,25.0,0.0,25.0,DTC,2025-01
O000291,C0227,2024-08-17,P005,2,25.0,0.05,47.5,DTC,2024-08
O000292,C2007,2024-10-26,P012,1,79.0,0.0,79.0,DTC,2024-10
O000293,C1604,2025-09-22,P008,1,25.0,0.0,25.0,DTC,2025-09
O000294,C0266,2024-04-30,P006,1,25.0,0.0,25.0,DTC,2024-04
O000295,C0220,2024-12-11,P001,1,25.0,0.0,25.0,Subscription,2024-12
O000296,C2437,2025-06-22,P005,3,25.0,0.05,71.25,DTC,2025-06
O000297,C2937,2024-10-18,P004,2,32.0,0.0,64.0,DTC,2024-10
O000298,C1671,2025-10-30,P008,2,25.0,0.0,50.0,DTC,2025-10
O000299,C0801,2024-03-15,P002,1,25.0,0.0,25.0,DTC,2024-03
O000300,C0631,2024-06-28,P004,1,32.0,0.0,32.0,DTC,2024-06
O000301,C2912,2025-12-14,P004,1,32.0,0.15,27.2,DTC,2025-12
O000302,C1624,2025-08-25,P011,3,20.0,0.15,51.0,DTC,2025-08
O000303,C1594,2025-05-20,P008,1,25.0,0.15,21.25,DTC,2025-05
O000304,C1631,2025-06-25,P009,1,32.0,0.0,32.0,DTC,2025-06
O000305,C2745,2024-05-02,P008,1,25.0,0.0,25.0,DTC,2024-05
O000306,C1621,2025-02-20,P011,1,20.0,0.0,20.0,DTC,2025-02
O000307,C2551,2025-05-22,P005,1,25.0,0.15,21.25,DTC,2025-05
O000308,C2754,2025-02-02,P004,1,32.0,0.0,32.0,DTC,2025-02
O000309,C1837,2024-03-15,P012,1,79.0,0.0,79.0,Subscription,2024-03
O000310,C1581,2025-03-29,P007,1,32.0,0.0,32.0,Subscription,2025-03
O000311,C0151,2025-08-25,P002,2,25.0,0.0,50.0,DTC,2025-08
O000312,C0515,2025-10-03,P009,1,32.0,0.0,32.0,Subscription,2025-10
O000313,C0211,2025-04-21,P003,2,25.0,0.05,47.5,Subscription,2025-04
O000314,C0942,2024-05-05,P011,1,20.0,0.0,20.0,DTC,2024-05
O000315,C1339,2024-06-19,P011,2,20.0,0.0,40.0,Subscription,2024-06
O000316,C2599,2024-10-05,P001,2,25.0,0.0,50.0,DTC,2024-10
O000317,C1976,2025-10-10,P003,2,25.0,0.0,50.0,DTC,2025-10
O000318,C1320,2025-10-27,P009,1,32.0,0.0,32.0,DTC,2025-10
O000319,C0746,2025-11-29,P003,1,25.0,0.0,25.0,DTC,2025-11
O000320,C2805,2025-08-29,P006,1,25.0,0.0,25.0,DTC,2025-08
O000321,C0425,2024-01-12,P009,1,32.0,0.0,32.0,DTC,2024-01
O000322,C0471,2024-12-01,P008,1,25.0,0.0,25.0,DTC,2024-12
O000323,C1538,2025-12-22,P006,2,25.0,0.0,50.0,Subscription,2025-12
O000324,C0413,2024-12-06,P012,1,79.0,0.0,79.0,Subscription,2024-12
O000325,C2136,2024-02-12,P004,1,32.0,0.15,27.2,DTC,2024-02
O000326,C1385,2025-01-07,P001,1,25.0,0.0,25.0,DTC,2025-01
O000327,C1683,2024-05-31,P006,2,25.0,0.1,45.0,DTC,2024-05
O000328,C2188,2025-09-07,P008,1,25.0,0.0,25.0,DTC,2025-09
O000329,C2559,2024-11-15,P010,2,28.0,0.0,56.0,DTC,2024-11
O000330,C1975,2024-09-06,P003,1,25.0,0.0,25.0,DTC,2024-09
O000331,C1915,2024-01-11,P006,1,25.0,0.0,25.0,DTC,2024-01
O000332,C0306,2025-12-25,P005,3,25.0,0.0,75.0,DTC,2025-12
O000333,C0001,2024-01-20,P003,1,25.0,0.0,25.0,DTC,2024-01
O000334,C0644,2024-05-18,P012,1,79.0,0.0,79.0,DTC,2024-05
O000335,C0690,2025-02-13,P004,1,32.0,0.0,32.0,DTC,2025-02
O000336,C0370,2024-12-09,P004,2,32.0,0.0,64.0,DTC,2024-12
O000337,C0203,2024-08-02,P004,1,32.0,0.1,28.8,DTC,2024-08
O000338,C1687,2025-08-01,P009,3,32.0,0.15,81.6,DTC,2025-08
