customer_id,first_order_date,subscription_flag,region,total_orders
C0064,2024-02-12,False,US-East,3.0
C0065,2025-03-05,True,Canada,4.0
C0066,2024-11-08,False,UK,10.0
C0067,2025-02-20,False,UK,6.0
C0068,2025-12-15,False,Australia,5.0
C0069,2024-02-05,True,Australia,0.0
C0070,2024-05-11,False,Australia,2.0
C0071,2025-03-06,False,UK,8.0
C0072,2025-06-30,False,US-East,4.0
C0073,2024-09-04,False,Canada,7.0
C0074,2024-09-27,False,UK,1.0
C0075,2025-10-23,True,US-East,8.0
C0076,2025-09-25,False,Canada,2.0
C0077,2025-09-07,False,Australia,3.0
C0078,2025-12-04,False,Canada,6.0
C0079,2025-09-25,False,US-East,4.0
C0080,2025-11-23,True,US-East,5.0
C0081,2024-08-20,False,US-West,4.0
C0082,2025-10-17,True,UK,2.0
C0083,2025-11-14,False,UK,3.0
C0084,2025-11-08,True,Canada,7.0
C0085,2025-04-08,False,UK,4.0
C0086,2024-06-27,False,US-East,4.0
C0087,2024-04-16,False,UK,3.0
C0088,2024-12-22,False,Australia,4.0
C0089,2025-06-18,False,US-East,3.0
C0090,2025-06-01,False,US-West,4.0
C0091,2025-02-27,False,US-East,1.0
C0092,2024-06-02,False,UK,4.0
C0093,2025-11-22,True,Australia,4.0
C0094,2025-04-27,False,Australia,1.0
C0095,2024-01-06,False,US-West,7.0
C0096,2024-11-05,False,US-West,6.0
C0097,2025-05-25,False,US-West,4.0
C0098,2025-08-14,True,US-East,7.0
C0099,2025-03-18,False,Canada,3.0
C0100,2024-08-03,False,US-East,3.0
C0101,2025-09-03,False,Canada,3.0
C0102,2024-09-09,False,Australia,2.0
C0103,2024-11-05,False,Australia,4.0
C0104,2024-10-13,True,Australia,3.0
C0105,2024-02-27,False,US-East,8.0
C0106,2025-08-09,False,US-West,4.0
C0107,2025-04-01,False,US-West,6.0
C0108,2024-12-30,False,US-East,7.0
C0109,2024-04-07,False,Canada,4.0
C0110,2025-07-06,True,UK,4.0
C0111,2025-06-21,True,US-West,2.0
C0112,2024-05-11,True,US-West,2.0
C0113,2024-04-05,False,Canada,6.0
C0114,2025-04-03,False,US-East,4.0
C0115,2025-01-22,False,UK,4.0
C0116,2025-04-07,False,UK,5.0
C0117,2024-02-17,False,UK,7.0
C0118,2025-12-22,False,US-East,4.0
C0119,2025-04-17,True,UK,3.0
C0120,2025-05-19,False,Australia,6.0
C0121,2025-12-12,True,Australia,5.0
C0122,2025-03-05,False,US-West,2.0
C0123,2024-08-01,True,Australia,5.0
C0124,2025-11-20,False,Canada,4.0
C0125,2025-06-10,False,Canada,3.0
C0126,2024-02-07,False,UK,1.0
C0127,2024-04-17,False,UK,8.0
C0128,2024-02-20,False,UK,8.0
C0129,2024-03-29,True,US-West,3.0
C0130,2024-09-03,False,Australia,2.0
C0131,2025-05-26,True,UK,3.0
C0132,2024-01-25,False,Canada,2.0
C0133,2024-06-30,True,Canada,4.0
C0134,2024-08-03,True,US-East,5.0
C0135,2024-01-26,True,Australia,4.0
C0136,2025-10-31,True,US-East,4.0
C0137,2025-05-18,True,UK,8.0
C0138,2024-01-11,False,UK,6.0
C0139,2024-05-28,False,Australia,7.0
C0140,2024-08-11,True,UK,7.0
C0141,2024-06-24,True,US-West,3.0
C0142,2024-10-29,False,UK,5.0
C0143,2024-07-12,False,UK,2.0
C0144,2025-11-17,False,Canada,2.0
C0145,2025-05-21,False,Australia,5.0
C0146,2024-05-28,True,Canada,5.0
C0147,2025-09-06,True,UK,4.0
C0148,2025-12-06,False,Australia,6.0
C0149,2024-07-22,False,UK,5.0
C0150,2024-09-04,False,US-West,6.0
C0151,2024-08-25,False,UK,9.0
C0152,2024-01-09,True,UK,8.0
C0153,2024-10-08,False,US-West,5.0
C0154,2024-06-30,False,Canada,6.0
C0155,2024-09-10,False,Canada,6.0
C0156,2025-11-28,True,Australia,6.0
C0157,2024-12-21,False,Australia,3.0
C0158,2025-06-15,False,Australia,5.0
C0159,2024-01-06,False,Australia,5.0
C0160,2025-09-18,True,Canada,4.0
C0161,2025-11-20,False,Canada,4.0
C0162,2024-07-29,False,US-West,7.0
C0163,2025-08-13,True,US-East,3.0
C0164,2024-06-15,False,UK,6.0
C0165,2025-03-18,False,Australia,5.0
C0166,2025-12-06,True,US-West,2.0
C0167,2025-05-05,False,Canada,7.0
C0168,2024-05-10,True,Canada,5.0
C0169,2024-07-05,True,US-West,3.0
C0170,2025-01-08,True,Australia,4.0
C0171,2025-07-17,False,UK,5.0
C0172,2024-09-10,False,UK,4.0
C0173,2024-02-05,True,US-East,1.0
C0174,2025-06-26,True,UK,4.0
C0175,2024-06-16,False,US-West,6.0
C0176,2024-10-10,True,UK,4.0
C0177,2025-01-15,False,US-West,2.0
C0178,2025-03-03,False,US-East,1.0
C0179,2025-07-05,False,UK,6.0
C0180,2025-01-08,True,US-East,5.0
C0181,2025-03-05,True,Australia,4.0
C0182,2025-03-22,False,US-West,5.0
C0183,2025-12-09,False,US-West,5.0
C0184,2024-11-11,False,Canada,3.0
C0185,2024-09-22,True,US-West,4.0
C0186,2024-06-29,False,US-West,7.0
C0187,2025-07-07,True,US-East,3.0
C0188,2025-02-05,False,Australia,4.0
C0189,2024-10-28,True,US-West,6.0
C0190,2025-03-07,False,US-East,2.0
C0191,2025-10-03,False,UK,6.0
C0192,2024-03-10,True,US-East,2.0
C0193,2025-01-25,False,UK,4.0
C0194,2025-12-30,True,Australia,5.0
C0195,2024-06-02,True,US-West,2.0
C0196,2025-09-16,True,Canada,1.0
C0197,2024-09-26,True,Canada,3.0
C0198,2024-03-09,False,Australia,4.0
C0199,2024-12-08,False,Canada,4.0
C0200,2024-08-01,False,UK,7.0
C0201,2025-03-01,False,Australia,7.0
C0202,2024-08-20,True,Australia,4.0
C0203,2024-08-17,False,UK,7.0
C0204,2025-10-29,False,US-East,5.0
C0205,2024-01-07,True,UK,4.0
C0206,2025-10-01,False,Canada,5.0
C0207,2025-08-18,True,Canada,7.0
C0208,2024-08-25,False,UK,2.0
C0209,2025-12-05,False,Australia,3.0
C0210,2024-01-06,False,Canada,5.0
C0211,2024-03-15,True,US-West,6.0
C0212,2024-06-21,False,Australia,9.0
C0213,2025-09-24,True,UK,7.0
C0214,2025-10-18,True,US-West,6.0
C0215,2025-12-25,False,US-East,7.0
C0216,2025-06-12,False,US-East,6.0
C0217,2025-06-13,True,US-West,8.0
C0218,2025-10-11,True,Australia,5.0
C0219,2025-03-07,True,US-West,5.0
C0220,2024-08-09,True,UK,8.0
C0221,2025-05-09,False,UK,4.0
C0222,2025-04-22,True,US-East,5.0
C0223,2024-12-22,True,US-West,2.0
C0224,2024-03-21,True,Australia,6.0
C0225,2024-11-13,False,Canada,4.0
C0226,2025-03-29,True,Australia,7.0
C0227,2025-11-21,True,Canada,4.0
C0228,2024-05-31,True,US-West,3.0
C0229,2024-10-06,False,Canada,7.0
C0230,2024-08-05,False,US-West,2.0
C0231,2025-04-01,False,Canada,3.0
C0232,2025-05-14,False,Canada,5.0
C0233,2025-04-21,False,US-East,5.0
C0234,2025-08-27,False,Australia,3.0
C0235,2024-03-19,True,Australia,6.0
C0236,2025-04-21,True,Canada,6.0
C0237,2024-09-17,False,Canada,0.0
C0238,2024-08-21,False,Australia,5.0
C0239,2025-07-21,False,US-East,2.0
C0240,2025-02-22,False,UK,8.0
C0241,2025-03-24,True,Canada,4.0
C0242,2025-06-03,False,US-East,6.0
C0243,2024-09-11,False,UK,7.0
C0244,2025-02-20,False,Australia,2.0
C0245,2025-10-08,True,US-West,6.0
C0246,2025-03-01,False,Canada,7.0
C0247,2024-09-02,False,Canada,4.0
C0248,2025-09-15,False,US-East,6.0
C0249,2025-07-30,True,UK,3.0
C0250,2024-09-16,True,US-West,5.0
C0251,2025-02-02,False,US-West,11.0
C0252,2025-08-26,True,US-East,9.0
C0253,2024-11-10,True,Canada,2.0
C0254,2024-09-08,False,Australia,3.0
C0255,2024-10-14,True,Australia,2.0
C0256,2025-01-26,False,UK,7.0
C0257,2024-11-15,False,UK,5.0
C0258,2024-07-19,False,UK,5.0
C0259,2024-06-07,True,UK,4.0
C0260,2025-01-11,False,UK,8.0
C0261,2024-07-06,False,US-West,5.0
C0262,2025-08-12,True,Australia,3.0
C0263,2025-06-04,False,Canada,4.0
C0264,2024-05-01,False,Canada,5.0
C0265,2025-05-24,False,UK,6.0
C0266,2025-11-06,True,Canada,5.0
C0267,2024-05-01,False,US-West,9.0
C0268,2024-09-25,True,US-East,7.0
C0269,2025-01-17,False,Canada,7.0
C0270,2024-07-10,False,Canada,2.0
C0271,2025-04-08,False,Canada,9.0
C0272,2025-06-11,True,UK,4.0
C0273,2024-05-12,False,UK,4.0
C0274,2025-07-26,False,Australia,4.0
C0275,2024-09-21,False,US-East,7.0
C0276,2025-03-15,True,UK,8.0
C0277,2024-09-26,False,US-West,5.0
C0278,2025-04-25,True,US-East,5.0
C0279,2025-07-08,False,Canada,8.0
C0280,2024-10-07,False,US-East,3.0
C0281,2024-02-05,False,UK,6.0
C0282,2025-04-13,True,Canada,10.0
C0283,2024-12-11,True,UK,2.0
C0284,2024-12-19,True,UK,5.0
C0285,2024-06-07,False,US-East,4.0
C0286,2025-07-11,False,US-East,4.0
C0287,2024-06-09,True,US-East,3.0
C0288,2025-03-04,False,US-East,7.0
C0289,2025-05-30,False,Australia,4.0
C0290,2024-01-08,True,US-West,4.0
C0291,2024-11-23,False,Canada,5.0
C0292,2025-11-28,True,US-East,4.0
C0293,2025-09-20,True,US-West,4.0
C0294,2024-08-20,False,US-East,8.0
C0295,2025-03-22,False,Australia,7.0
C0296,2025-07-21,False,Australia,4.0
C0297,2025-06-16,False,US-East,4.0
C0298,2025-12-10,False,US-East,8.0
C0299,2025-09-21,False,Australia,4.0
C0300,2024-01-13,False,US-East,2.0
C0301,2025-11-14,True,Australia,2.0
C0302,2025-09-14,False,US-West,4.0
C0303,2025-04-19,False,UK,5.0
C0304,2025-05-01,True,US-East,3.0
C0305,2024-04-13,False,Canada,3.0
C0306,2024-01-06,False,UK,9.0
C0307,2024-07-04,True,Canada,4.0
C0308,2025-09-13,False,Canada,8.0
C0309,2024-09-25,False,US-West,6.0
C0310,2025-11-11,False,UK,3.0
C0311,2025-04-20,False,UK,7.0
C0312,2024-02-26,True,UK,2.0
C0313,2025-02-14,False,US-West,3.0
C0314,2024-07-09,False,Australia,5.0
C0315,2025-01-19,False,US-West,4.0
C0316,2024-08-15,True,US-West,4.0
C0317,2025-04-11,False,Australia,3.0
C0318,2024-07-31,False,Canada,6.0
C0319,2024-08-06,False,UK,5.0
C0320,2025-11-16,False,Canada,6.0
C0321,2025-02-18,False,Canada,7.0
C0322,2024-02-08,False,UK,0.0
C0323,2024-09-14,True,US-West,7.0
C0324,2025-12-04,False,US-East,6.0
C0325,2025-05-28,False,US-West,8.0
C0326,2024-06-01,False,Canada,4.0
C0327,2025-02-02,True,UK,6.0
C0328,2025-11-22,True,US-East,2.0
C0329,2024-12-15,True,Australia,8.0
C0330,2024-11-27,False,Australia,7.0
C0331,2025-05-24,True,US-West,5.0
C0332,2024-06-28,False,US-East,2.0
C0333,2024-07-01,True,US-West,4.0
C0334,2024-07-21,False,US-East,8.0
C0335,2025-09-16,False,US-West,7.0
C0336,2025-07-07,True,US-West,8.0
C0337,2025-01-07,False,US-West,4.0
C0338,2024-09-15,False,US-East,2.0
C0339,2025-01-05,True,US-East,4.0
C0340,2024-11-01,True,Canada,4.0
C0341,2024-02-15,True,Canada,2.0
C0342,2024-05-04,False,Canada,4.0
C0343,2024-03-01,False,US-East,9.0
C0344,2024-07-04,False,Canada,9.0
C0345,2025-11-29,False,Canada,3.0
C0346,2025-12-09,False,Canada,11.0
C0347,2024-03-12,True,US-East,3.0
C0348,2025-06-04,False,US-West,1.0
C0349,2025-08-10,False,UK,8.0
C0350,2024-03-27,False,US-West,9.0
C0351,2025-03-06,True,US-West,3.0
C0352,2024-10-28,False,Canada,8.0
C0353,2024-03-29,False,Australia,7.0
C0354,2025-10-14,False,US-East,5.0
C0355,2024-11-14,False,UK,1.0
C0356,2024-05-04,True,Canada,7.0
C0357,2024-01-15,False,Australia,7.0
C0358,2025-06-11,False,UK,4.0
C0359,2024-03-14,False,Canada,6.0
C0360,2024-04-22,True,Canada,4.0
C0361,2024-11-17,True,US-West,11.0
C0362,2024-05-24,False,UK,7.0
C0363,2024-03-10,False,US-East,6.0
C0364,2025-10-02,False,US-West,5.0
C0365,2024-06-06,True,US-East,4.0
C0366,2024-07-30,False,UK,1.0
C0367,2025-08-31,True,US-West,5.0
C0368,2024-11-14,False,UK,5.0
C0369,2024-03-09,True,Australia,6.0
C0370,2024-10-08,False,Canada,6.0
C0371,2025-11-13,True,US-East,4.0
C0372,2025-11-27,False,US-West,7.0
C0373,2024-03-18,True,Australia,6.0
C0374,2025-02-07,False,UK,7.0
C0375,2024-10-18,False,Australia,4.0
C0376,2025-12-12,False,UK,7.0
C0377,2024-01-27,False,Australia,4.0
C0378,2024-11-03,True,UK,4.0
C0379,2024-03-26,False,US-East,1.0
C0380,2025-12-18,False,US-East,5.0
C0381,2025-05-04,False,UK,4.0
C0382,2025-09-25,True,US-West,9.0
C0383,2025-01-19,False,US-West,3.0
C0384,2025-09-11,False,US-West,5.0
C0385,2025-07-07,True,Canada,7.0
C0386,2025-05-15,False,UK,4.0
C0387,2025-06-05,True,Australia,6.0
C0388,2024-06-08,False,Canada,8.0
C0389,2024-05-07,True,US-West,7.0
C0390,2025-05-06,False,US-East,7.0
C0391,2024-03-21,False,Canada,3.0
C0392,2025-09-12,True,US-East,4.0
C0393,2024-08-20,False,UK,3.0
C0394,2025-05-11,False,Australia,10.0
C0395,2024-10-26,False,Australia,6.0
C0396,2025-12-09,True,US-East,4.0
C0397,2025-04-13,False,Canada,3.0
C0398,2025-05-08,False,US-West,2.0
C0399,2025-08-01,False,US-West,6.0
C0400,2025-12-01,False,US-East,7.0
C0401,2024-03-31,False,Canada,9.0
C0402,2024-10-14,False,UK,4.0
C0403,2025-09-20,False,Australia,4.0
C0404,2025-12-14,False,UK,7.0
C0405,2024-04-02,True,US-West,9.0
C0406,2024-12-17,False,Canada,4.0
C0407,2025-03-18,False,US-West,3.0
C0408,2024-12-16,True,Australia,3.0
C0409,2024-02-09,True,UK,6.0
C0410,2025-07-12,True,Australia,6.0
C0411,2025-06-29,True,UK,5.0
C0412,2024-09-05,False,UK,6.0
C0413,2025-12-06,True,US-West,8.0
C0414,2025-10-01,False,US-West,4.0
C0415,2025-11-30,True,Canada,5.0
C0416,2025-07-10,False,US-West,4.0
C0417,2025-04-08,True,UK,8.0
C0418,2025-07-31,True,Australia,6.0
C0419,2024-06-07,False,US-East,4.0
C0420,2025-07-26,True,Australia,7.0
C0421,2025-05-12,False,UK,3.0
C0422,2024-02-04,False,US-East,4.0
C0423,2024-12-23,False,Canada,2.0
C0424,2025-10-02,True,US-East,6.0
C0425,2024-12-22,False,US-East,7.0
C0426,2025-07-04,False,US-East,7.0
C0427,2024-08-09,True,Canada,2.0
C0428,2025-01-30,False,UK,4.0
C0429,2024-06-28,False,Canada,9.0
C0430,2024-03-19,False,US-West,4.0
C0431,2024-09-23,False,UK,9.0
C0432,2025-08-04,False,UK,6.0
C0433,2025-03-22,False,Australia,5.0
C0434,2024-02-27,False,US-East,2.0
C0435,2025-11-14,True,Australia,5.0
C0436,2025-02-08,False,US-West,11.0
C0437,2025-10-07,False,Australia,7.0
C0438,2025-12-30,False,Australia,1.0
C0439,2024-11-16,False,Australia,4.0
C0440,2024-05-04,False,US-East,3.0
C0441,2025-06-02,False,Australia,6.0
C0442,2024-05-27,False,US-West,6.0
C0443,2025-08-10,False,US-West,3.0
C0444,2024-06-13,False,Canada,3.0
C0445,2024-06-24,True,UK,8.0
C0446,2024-04-05,False,US-East,6.0
C0447,2024-07-18,False,US-West,5.0
C0448,2024-10-19,True,Canada,3.0
C0449,2025-03-14,False,UK,6.0
C0450,2024-04-10,False,Australia,12.0
C0451,2025-09-02,False,Australia,7.0
C0452,2024-02-12,False,Canada,9.0
C0453,2024-07-20,True,Canada,0.0
C0454,2025-12-06,False,UK,9.0
C0455,2025-06-13,True,US-West,4.0
C0456,2024-05-04,False,UK,3.0
C0457,2025-09-12,True,Canada,7.0
C0458,2024-04-12,False,Canada,2.0
C0459,2024-12-17,False,US-West,4.0
C0460,2024-06-02,False,US-West,5.0
C0461,2024-01-20,False,Australia,3.0
C0462,2024-10-30,True,UK,7.0
C0463,2024-10-30,True,Australia,2.0
C0464,2025-09-03,False,Canada,3.0
C0465,2025-07-15,True,Canada,8.0
C0466,2025-12-23,True,UK,6.0
C0467,2025-04-23,False,US-East,4.0
C0468,2025-06-18,False,Canada,7.0
C0469,2024-09-02,False,US-West,8.0
C0470,2025-01-16,False,US-East,6.0
C0471,2025-12-29,False,Canada,8.0
C0472,2025-07-10,False,Australia,7.0
C0473,2025-06-20,False,US-East,6.0
C0474,2024-03-03,True,Canada,7.0
C0475,2025-03-21,False,Canada,3.0
C0476,2025-02-18,False,UK,3.0
C0477,2024-03-02,False,Canada,3.0
C0478,2024-12-20,False,US-East,5.0
C0479,2024-06-18,False,US-East,7.0
C0480,2024-03-06,True,Canada,4.0
C0481,2024-09-08,False,US-West,7.0
C0482,2025-12-07,False,Australia,3.0
C0483,2024-05-07,False,Australia,0.0
C0484,2024-02-13,False,Canada,6.0
C0485,2025-09-19,False,US-West,17.0
C0486,2025-12-09,False,UK,8.0
C0487,2025-07-16,True,US-East,5.0
C0488,2024-08-26,False,UK,5.0
C0489,2025-02-03,False,Australia,5.0
C0490,2024-06-07,False,US-East,7.0
C0491,2024-06-17,True,US-West,2.0
C0492,2024-09-25,True,Canada,2.0
C0493,2024-11-18,False,US-West,3.0
C0494,2025-12-24,False,UK,7.0
C0495,2025-02-17,False,US-West,7.0
C0496,2025-11-30,False,US-East,5.0
C0497,2024-12-17,False,UK,1.0
C0498,2025-01-10,False,UK,4.0
C0499,2025-07-21,True,US-West,3.0
C0500,2025-12-16,False,US-West,2.0
C0501,2024-12-05,False,US-East,2.0
C0502,2025-12-26,False,Canada,9.0
C0503,2024-06-15,False,Canada,2.0
C0504,2025-05-28,False,UK,5.0
C0505,2025-04-06,False,UK,3.0
C0506,2025-12-09,True,US-West,6.0
C0507,2024-01-23,True,Australia,6.0
C0508,2024-07-13,False,US-West,3.0
C0509,2024-01-17,False,US-East,9.0
C0510,2025-11-05,False,US-East,2.0
C0511,2025-11-09,False,UK,6.0
C0512,2025-08-26,True,US-East,7.0
C0513,2025-04-05,True,US-West,1.0
C0514,2024-10-11,False,US-West,5.0
C0515,2025-01-28,True,US-East,6.0
C0516,2024-03-01,False,US-East,5.0
C0517,2025-09-21,True,Australia,3.0
C0518,2024-06-03,False,US-West,6.0
C0519,2024-02-07,False,UK,4.0
C0520,2024-06-07,False,UK,6.0
C0521,2024-08-21,False,UK,4.0
C0522,2025-01-14,True,UK,5.0
C0523,2025-06-18,False,UK,8.0
C0524,2025-07-03,True,US-West,5.0
C0525,2025-11-15,True,Australia,6.0
C0526,2024-11-15,True,US-West,5.0
C0527,2024-02-25,True,US-East,4.0
C0528,2025-12-09,False,Australia,6.0
C0529,2024-09-28,False,UK,7.0
C0530,2025-07-04,True,US-West,4.0
C0531,2024-06-25,False,US-West,7.0
C0532,2024-10-28,False,UK,7.0
C0533,2024-03-16,True,US-East,4.0
C0534,2025-01-29,False,US-East,2.0
C0535,2024-03-11,True,US-East,4.0
C0536,2025-06-02,False,Australia,4.0
C0537,2024-09-29,False,UK,5.0
C0538,2025-11-13,False,US-West,0.0
C0539,2024-04-07,False,US-East,5.0
C0540,2025-12-11,True,US-West,5.0
C0541,2025-07-31,False,UK,0.0
C0542,2025-01-23,False,US-West,5.0
C0543,2025-01-14,True,Canada,4.0
C0544,2025-07-03,True,US-West,7.0
C0545,2025-09-05,False,US-East,6.0
C0546,2024-07-21,True,Australia,3.0
C0547,2025-11-13,True,Australia,6.0
C0548,2025-04-27,False,Canada,5.0
C0549,2025-05-10,True,Australia,4.0
C0550,2024-12-13,False,Australia,2.0
C0551,2024-11-09,False,Australia,3.0
C0552,2025-02-22,False,UK,5.0
C0553,2025-05-09,True,Australia,3.0
C0554,2024-07-09,True,Canada,7.0
C0555,2025-06-27,True,US-East,6.0
C0556,2025-04-25,False,Canada,4.0
C0557,2024-02-02,True,Canada,8.0
C0558,2025-08-27,False,US-East,4.0
C0559,2024-02-05,True,Canada,3.0
C0560,2024-02-17,False,Australia,4.0
C0561,2025-07-29,False,Australia,2.0
C0562,2025-05-19,True,Canada,5.0
C0563,2025-06-23,True,Australia,7.0
C0564,2024-07-21,False,US-East,8.0
C0565,2024-05-06,False,Canada,7.0
C0566,2025-12-18,False,US-East,5.0
C0567,2024-01-08,False,US-East,2.0
C0568,2025-04-01,False,Canada,4.0
C0569,2024-02-27,True,US-East,10.0
C0570,2024-08-03,False,Canada,5.0
C0571,2025-10-23,False,US-West,6.0
C0572,2025-12-23,False,US-West,5.0
C0573,2024-02-07,False,Canada,5.0
C0574,2024-10-21,False,UK,5.0
C0575,2025-03-09,True,US-East,10.0
C0576,2024-03-22,False,UK,5.0
C0577,2024-12-17,False,Australia,4.0
C0578,2024-12-12,False,US-East,9.0
C0579,2025-06-24,False,US-East,7.0
C0580,2025-04-08,False,US-East,4.0
C0581,2025-02-03,True,Canada,5.0
C0582,2024-06-30,False,Canada,3.0
C0583,2025-12-10,False,US-East,6.0
C0584,2024-06-17,False,Canada,7.0
C0585,2025-04-23,False,Canada,4.0
C0586,2025-01-26,True,Australia,4.0
C0587,2025-02-05,False,US-East,7.0
C0588,2024-10-29,False,Canada,9.0
C0589,2025-11-03,False,Australia,12.0
C0590,2024-10-04,True,Australia,8.0
C0591,2025-05-31,False,US-West,4.0
C0592,2024-06-19,True,US-West,10.0
C0593,2025-10-23,True,Australia,8.0
C0594,2025-02-27,True,UK,4.0
C0595,2025-07-07,False,Australia,3.0
C0596,2024-11-10,True,US-West,7.0
C0597,2025-02-03,False,US-East,5.0
C0598,2025-12-07,False,Canada,5.0
C0599,2024-09-14,False,UK,6.0
C0600,2025-12-24,True,US-East,4.0
C0601,2024-04-06,False,UK,4.0
C0602,2025-01-03,False,US-West,5.0
C0603,2025-05-10,False,UK,5.0
C0604,2024-07-02,False,UK,5.0
C0605,2025-04-11,False,UK,5.0
C0606,2024-07-20,False,US-East,10.0
C0607,2024-08-31,True,US-East,0.0
C0608,2025-02-13,True,US-West,5.0
C0609,2025-07-29,False,UK,4.0
C0610,2025-06-01,False,UK,9.0
C0611,2025-04-15,True,US-East,6.0
C0612,2025-03-05,True,Australia,6.0
C0613,2024-08-30,False,US-West,8.0
C0614,2025-06-10,False,Australia,7.0
C0615,2024-12-23,False,UK,1.0
C0616,2024-09-06,True,US-West,4.0
C0617,2024-09-08,False,US-East,6.0
C0618,2025-08-17,False,Australia,6.0
C0619,2025-12-04,False,UK,4.0
C0620,2024-02-06,False,Australia,4.0
C0621,2024-05-04,True,Canada,2.0
C0622,2025-12-29,False,UK,2.0
C0623,2025-09-17,True,Canada,1.0
C0624,2025-08-07,False,Australia,6.0
C0625,2024-11-04,False,Canada,10.0
C0626,2025-02-16,False,UK,6.0
C0627,2025-11-14,False,US-East,1.0
C0628,2024-08-27,False,Australia,5.0
C0629,2024-07-16,False,UK,5.0
C0630,2025-08-10,False,Canada,5.0
C0631,2025-07-13,False,UK,4.0
C0632,2024-12-14,False,US-East,6.0
C0633,2025-12-19,False,UK,4.0
C0634,2024-07-03,False,UK,6.0
C0635,2025-09-04,False,US-East,4.0
C0636,2025-07-07,False,UK,4.0
C0637,2025-07-10,True,US-West,10.0
C0638,2024-05-29,False,US-East,5.0
C0639,2025-05-12,True,UK,7.0
C0640,2024-04-07,False,Canada,8.0
C0641,2025-11-14,True,Canada,4.0
C0642,2024-04-26,False,UK,9.0
C0643,2024-08-29,False,UK,4.0
C0644,2024-04-16,True,Australia,7.0
C0645,2025-08-04,False,Canada,5.0
C0646,2025-02-01,False,Canada,8.0
C0647,2024-04-17,False,US-East,5.0
C0648,2024-04-03,False,Canada,6.0
C0649,2024-07-12,False,Canada,9.0
C0650,2024-07-14,True,US-West,3.0
C0651,2025-04-12,False,Canada,4.0
C0652,2024-03-18,False,US-West,0.0
C0653,2025-09-20,False,UK,5.0
C0654,2025-06-20,False,UK,5.0
C0655,2025-12-07,False,Canada,6.0
C0656,2025-07-05,False,Canada,4.0
C0657,2025-01-05,False,US-West,3.0
C0658,2025-09-04,False,US-West,6.0
C0659,2025-08-19,False,US-West,3.0
C0660,2025-07-26,False,US-East,5.0
C0661,2025-03-13,True,Australia,1.0
C0662,2024-12-13,False,Canada,5.0
C0663,2024-01-15,False,UK,2.0
C0664,2024-04-10,False,US-West,6.0
C0665,2025-10-29,True,UK,3.0
C0666,2024-11-06,True,Australia,3.0
C0667,2025-04-26,False,Australia,1.0
C0668,2024-11-18,False,US-West,5.0
C0669,2025-12-22,False,US-East,4.0
C0670,2025-05-12,False,Canada,2.0
C0671,2025-02-23,False,Australia,5.0
